date,year,n1,n2,n3,n4,n5,n6,div1_prize,div1_winners,url
4/9/2003,2003,1,4,17,26,38,44,0,0,https://lottery.hk/en/mark-six/results/2003-09-04
9/9/2003,2003,7,12,21,28,31,41,0,0,https://lottery.hk/en/mark-six/results/2003-09-09
12/9/2003,2003,1,5,21,28,35,41,"70,962,580",1,https://lottery.hk/en/mark-six/results/2003-09-12
16/9/2003,2003,2,4,13,43,48,49,0,0,https://lottery.hk/en/mark-six/results/2003-09-16
18/9/2003,2003,4,5,14,18,28,31,"3,422,710",3,https://lottery.hk/en/mark-six/results/2003-09-18
20/9/2003,2003,2,3,9,13,31,43,0,0,https://lottery.hk/en/mark-six/results/2003-09-20
23/9/2003,2003,2,13,20,22,39,49,0,0,https://lottery.hk/en/mark-six/results/2003-09-23
25/9/2003,2003,2,7,9,40,41,42,0,0,https://lottery.hk/en/mark-six/results/2003-09-25
30/9/2003,2003,10,18,24,27,28,38,"8,079,520",3,https://lottery.hk/en/mark-six/results/2003-09-30
2/10/2003,2003,4,7,10,15,19,39,0,0,https://lottery.hk/en/mark-six/results/2003-10-02
4/10/2003,2003,8,23,31,33,41,47,0,0,https://lottery.hk/en/mark-six/results/2003-10-04
7/10/2003,2003,17,28,33,38,42,47,0,0,https://lottery.hk/en/mark-six/results/2003-10-07
9/10/2003,2003,19,23,31,40,44,47,"25,879,705",1,https://lottery.hk/en/mark-six/results/2003-10-09
14/10/2003,2003,9,16,30,31,32,37,"2,500,000",2,https://lottery.hk/en/mark-six/results/2003-10-14
16/10/2003,2003,6,27,36,38,43,49,0,0,https://lottery.hk/en/mark-six/results/2003-10-16
18/10/2003,2003,14,20,26,39,40,42,"7,275,605",4,https://lottery.hk/en/mark-six/results/2003-10-18
21/10/2003,2003,24,25,35,41,44,47,"2,500,000",2,https://lottery.hk/en/mark-six/results/2003-10-21
23/10/2003,2003,7,10,15,21,30,43,0,0,https://lottery.hk/en/mark-six/results/2003-10-23
28/10/2003,2003,7,21,25,42,47,49,0,0,https://lottery.hk/en/mark-six/results/2003-10-28
30/10/2003,2003,10,11,17,19,39,45,"17,616,920",1,https://lottery.hk/en/mark-six/results/2003-10-30
1/11/2003,2003,4,8,12,15,23,33,"5,000,000",1,https://lottery.hk/en/mark-six/results/2003-11-01
3/11/2003,2003,6,9,18,22,31,41,0,0,https://lottery.hk/en/mark-six/results/2003-11-03
6/11/2003,2003,5,6,14,27,28,49,"10,482,160",1,https://lottery.hk/en/mark-six/results/2003-11-06
11/11/2003,2003,1,4,19,28,37,49,0,0,https://lottery.hk/en/mark-six/results/2003-11-11
14/11/2003,2003,25,28,29,37,44,48,0,0,https://lottery.hk/en/mark-six/results/2003-11-14
18/11/2003,2003,11,14,22,24,34,48,0,0,https://lottery.hk/en/mark-six/results/2003-11-18
20/11/2003,2003,18,25,31,34,35,37,0,0,https://lottery.hk/en/mark-six/results/2003-11-20
25/11/2003,2003,11,13,30,39,41,48,"34,614,315",1,https://lottery.hk/en/mark-six/results/2003-11-25
27/11/2003,2003,7,10,15,38,45,49,0,0,https://lottery.hk/en/mark-six/results/2003-11-27
